trip_id,distance_km,traffic_density,weather_impact,day_of_week,hour_of_day,actual_time_mins,timestamp,avg_speed_kmh
750,26.25,9,1.8,1,15,124.12,2026-05-13 14:51:57,12.689332903641636
751,127.26,3,1.5,4,4,195.92,2026-05-13 14:51:57,38.97305022458147
752,89.21,1,1.5,2,5,135.44,2026-05-13 14:51:57,39.520082693443584
753,104.03,10,1.5,1,5,213.18,2026-05-13 14:51:57,29.279482127779342
754,15.29,7,1.6,4,1,84.58,2026-05-13 14:51:57,10.846535824071884
755,23.41,6,1.6,5,20,97.98,2026-05-13 14:51:57,14.335578689528475
756,34.4,7,1.7,0,2,110.49,2026-05-13 14:51:57,18.680423567743688
757,104.64,9,1.4,0,15,215.62,2026-05-13 14:51:57,29.117892588813653
758,46.15,8,1.1,3,20,124.77,2026-05-13 14:51:57,22.192834816061552
759,64.55,1,1.7,6,11,119.42,2026-05-13 14:51:57,32.431753475129796
760,123.01,3,1.1,1,16,195.46,2026-05-13 14:51:57,37.76015553054334
761,147.81,10,1.9,4,23,278.32,2026-05-13 14:51:57,31.864759988502446
762,72.53,9,1.9,3,12,179.35,2026-05-13 14:51:57,24.264287705603568
764,117.8,7,1.4,0,4,219.74,2026-05-13 14:51:57,32.165286247383264
765,113.4,1,1.4,6,10,167.92,2026-05-13 14:51:57,40.519294902334444
766,145.78,4,1.1,6,23,214.73,2026-05-13 14:51:57,40.73394495412844
767,66.2,8,1.4,3,21,154.5,2026-05-13 14:51:57,25.70873786407767
768,92.49,3,1.5,1,8,153.02,2026-05-13 14:51:57,36.2658476016207
769,78.82,3,1.3,4,12,137.26,2026-05-13 14:51:57,34.454320268104325
770,81.4,6,1.3,0,7,165.05,2026-05-13 14:51:57,29.59103302029688
771,104.29,7,1.1,1,22,192.57,2026-05-13 14:51:57,32.49415796853093
772,139.37,6,1.0,0,23,220.48,2026-05-13 14:51:57,37.9272496371553
773,91.58,10,1.1,1,2,198.81,2026-05-13 14:51:57,27.63844877018259
774,133.17,10,1.8,5,19,258.56,2026-05-13 14:51:57,30.902691831683168
775,65.79,10,1.8,1,8,162.42,2026-05-13 14:51:57,24.303657185075732
776,89.94,10,2.0,3,6,200.32,2026-05-13 14:51:57,26.938897763578275
777,6.59,6,1.4,0,1,63.28,2026-05-13 14:51:57,6.248419721871049
778,129.13,4,1.1,0,8,198.79,2026-05-13 14:51:57,38.97479752502641
779,77.15,7,1.6,2,12,160.45,2026-05-13 14:51:57,28.850109068245565
780,95.44,1,1.4,3,19,142.25,2026-05-13 14:51:57,40.25588752196837
781,67.26,5,1.1,2,5,128.59,2026-05-13 14:51:57,31.383466832568633
782,149.25,5,1.3,5,13,245.75,2026-05-13 14:51:57,36.43947100712106
783,115.79,10,1.4,4,19,218.28,2026-05-13 14:51:57,31.827927432655308
784,147.66,4,1.1,1,0,234.08,2026-05-13 14:51:57,37.848598769651396
785,15.36,4,1.7,0,21,82.28,2026-05-13 14:51:57,11.200777831793875
786,93.03,6,1.3,5,13,170.19,2026-05-13 14:51:57,32.79746166049709
787,136.06,9,1.7,3,15,245.18,2026-05-13 14:51:57,33.29635369932295
788,60.62,10,1.9,3,11,161.47,2026-05-13 14:51:57,22.525546541153155
789,148.48,2,1.5,1,4,217.58,2026-05-13 14:51:57,40.944939792260314
790,104.03,3,1.7,0,5,173.0,2026-05-13 14:51:57,36.07976878612717
791,110.0,9,1.9,5,4,226.12,2026-05-13 14:51:57,29.18804174774456
792,84.1,10,1.7,6,2,185.37,2026-05-13 14:51:57,27.221233209257157
793,15.32,5,1.4,5,9,86.85,2026-05-13 14:51:57,10.583765112262522
794,141.68,4,1.2,3,2,221.51,2026-05-13 14:51:57,38.376596993363734
795,138.58,4,1.8,4,21,234.28,2026-05-13 14:51:57,35.49086563086905
796,99.99,6,1.1,2,20,172.2,2026-05-13 14:51:57,34.8397212543554
797,19.37,7,1.8,6,17,107.6,2026-05-13 14:51:57,10.801115241635689
798,22.25,2,1.0,3,13,71.22,2026-05-13 14:51:57,18.744734625105306
799,145.66,8,1.2,2,15,239.36,2026-05-13 14:51:57,36.512366310160424
800,68.17,7,1.9,4,17,158.96,2026-05-13 14:51:57,25.73100150981379
801,93.97,10,1.8,4,12,204.31,2026-05-13 14:51:57,27.59629974059028
802,73.24,3,1.9,1,15,137.27,2026-05-13 14:51:57,32.01282144678371
803,80.02,6,1.4,5,20,166.34,2026-05-13 14:51:57,28.863772995070335
804,58.05,10,1.6,3,20,152.04,2026-05-13 14:51:57,22.90844514601421
805,49.68,8,1.1,0,12,132.28,2026-05-13 14:51:57,22.534018748110068
806,103.86,10,1.8,0,21,210.81,2026-05-13 14:51:57,29.560267539490535
807,146.16,1,1.6,6,8,214.88,2026-05-13 14:51:57,40.81161578555473
808,42.04,2,1.1,4,1,89.35,2026-05-13 14:51:57,28.230554001119195
809,41.26,2,1.1,3,19,89.82,2026-05-13 14:51:57,27.56179024716099
810,70.36,7,1.6,3,5,157.27,2026-05-13 14:51:57,26.843008838303554
811,17.42,1,1.3,5,8,52.64,2026-05-13 14:51:57,19.855623100303955
812,15.65,9,1.1,1,9,89.94,2026-05-13 14:51:57,10.440293529019348
813,116.23,10,1.4,1,17,221.61,2026-05-13 14:51:57,31.468796534452416
814,127.99,9,1.3,5,2,227.99,2026-05-13 14:51:57,33.683056274398
815,58.08,2,1.1,1,11,110.01,2026-05-13 14:51:57,31.67712026179438
816,53.86,1,1.4,3,4,99.7,2026-05-13 14:51:57,32.413239719157474
817,95.72,10,1.7,3,6,205.89,2026-05-13 14:51:57,27.894506775462627
818,132.36,6,1.4,0,7,227.46,2026-05-13 14:51:57,34.91427064099183
819,57.56,10,1.8,3,19,161.23,2026-05-13 14:51:57,21.420331203870248
820,81.34,8,1.6,3,9,169.46,2026-05-13 14:51:57,28.799716747315
821,53.48,7,2.0,1,6,145.96,2026-05-13 14:51:57,21.984105234310768
822,49.2,9,1.7,6,23,151.33,2026-05-13 14:51:57,19.507037599947136
823,50.93,2,1.8,6,9,107.57,2026-05-13 14:51:57,28.40754857302222
824,11.92,5,1.7,1,18,71.23,2026-05-13 14:51:57,10.04071318264776
825,10.17,1,1.5,6,5,42.03,2026-05-13 14:51:57,14.518201284796573
826,78.8,10,1.2,2,7,175.33,2026-05-13 14:51:57,26.966292134831455
827,26.14,8,1.3,3,7,113.99,2026-05-13 14:51:57,13.759101675585578
828,85.14,3,1.5,5,20,151.33,2026-05-13 14:51:57,33.75669067600608
829,43.63,4,1.4,0,1,106.29,2026-05-13 14:51:57,24.62884561106407
830,10.69,3,2.0,1,3,78.8,2026-05-13 14:51:57,8.139593908629442
831,128.4,1,1.1,0,20,181.87,2026-05-13 14:51:57,42.35992742068511
832,29.47,6,1.6,3,4,109.2,2026-05-13 14:51:57,16.19230769230769
833,38.47,2,1.2,5,7,83.22,2026-05-13 14:51:57,27.73612112472963
834,121.77,1,1.2,5,18,170.47,2026-05-13 14:51:57,42.85915410336129
835,102.96,3,1.7,3,8,184.34,2026-05-13 14:51:57,33.51198871650212
836,138.32,9,1.5,5,9,255.37,2026-05-13 14:51:57,32.498727336805416
837,82.92,9,1.3,6,21,179.41,2026-05-13 14:51:57,27.730895713728334
838,109.15,4,1.3,0,20,189.55,2026-05-13 14:51:57,34.550250593510945
839,56.77,10,1.1,6,7,142.89,2026-05-13 14:51:57,23.837917279025827
840,136.34,10,1.9,5,19,252.33,2026-05-13 14:51:57,32.419450719296165
841,142.8,1,1.2,1,17,208.75,2026-05-13 14:51:57,41.04431137724551
843,39.15,8,1.8,5,0,123.29,2026-05-13 14:51:57,19.052640116797793
844,144.01,6,1.2,0,7,224.27,2026-05-13 14:51:57,38.52766754358585
845,21.71,10,1.5,0,5,104.44,2026-05-13 14:51:57,12.472232860972808
846,134.61,10,1.3,4,21,236.32,2026-05-13 14:51:57,34.17654028436019
847,71.75,2,1.3,2,13,122.05,2026-05-13 14:51:57,35.27242933224088
848,104.25,1,1.8,0,8,174.47,2026-05-13 14:51:57,35.8514357769244
849,106.98,9,1.4,2,5,208.85,2026-05-13 14:51:57,30.73401963131434
850,22.84,9,2.0,6,21,110.91,2026-05-13 14:51:57,12.355964295374628
851,100.6,9,1.1,5,14,186.9,2026-05-13 14:51:57,32.29534510433386
852,66.77,6,1.4,4,14,143.97,2026-05-13 14:51:57,27.826630548030835
853,31.09,10,1.8,3,15,137.51,2026-05-13 14:51:57,13.565558868445931
854,113.34,5,1.1,5,6,182.47,2026-05-13 14:51:57,37.268592097331066
855,85.73,5,1.9,0,5,167.78,2026-05-13 14:51:57,30.658004529741326
856,145.37,10,1.9,1,18,274.48,2026-05-13 14:51:57,31.77717866511221
857,110.16,3,1.7,4,8,181.69,2026-05-13 14:51:57,36.37844680499752
858,59.26,10,2.0,0,6,167.82,2026-05-13 14:51:57,21.186986056489097
859,90.0,8,2.0,2,7,183.7,2026-05-13 14:51:57,29.395753946652153
860,116.54,1,1.6,0,23,171.01,2026-05-13 14:51:57,40.88883691012222
861,9.44,3,1.6,6,8,65.76,2026-05-13 14:51:57,8.613138686131386
862,65.7,2,1.4,6,13,116.31,2026-05-13 14:51:57,33.89218467887542
863,72.24,4,1.8,1,2,137.36,2026-05-13 14:51:57,31.555037856726845
864,103.27,3,1.3,5,22,171.38,2026-05-13 14:51:57,36.15474384408916
865,56.24,7,1.2,0,23,133.96,2026-05-13 14:51:57,25.18960883845924
866,67.07,7,1.1,0,19,144.51,2026-05-13 14:51:57,27.84720780568819
867,81.55,2,1.5,3,6,143.14,2026-05-13 14:51:57,34.18331703227609
868,48.54,8,2.0,3,11,147.79,2026-05-13 14:51:57,19.706340077136478
869,61.92,1,1.3,4,5,106.16,2026-05-13 14:51:57,34.996232102486815
870,102.13,8,1.0,3,9,191.91,2026-05-13 14:51:57,31.93059246521807
871,78.96,2,2.0,3,20,153.23,2026-05-13 14:51:57,30.918227501142077
872,115.18,2,1.9,1,20,193.03,2026-05-13 14:51:57,35.80168885665441
873,25.79,3,1.6,3,6,91.29,2026-05-13 14:51:57,16.95037791652974
874,125.57,6,1.5,2,0,220.12,2026-05-13 14:51:57,34.22769398509904
875,38.19,4,1.8,0,6,106.9,2026-05-13 14:51:57,21.43498596819457
876,126.8,10,1.9,3,6,249.64,2026-05-13 14:51:57,30.475885274795704
877,24.06,8,1.2,5,7,108.36,2026-05-13 14:51:57,13.322259136212624
878,70.37,4,1.0,3,23,123.53,2026-05-13 14:51:57,34.179551525945115
879,90.12,1,1.6,2,14,142.72,2026-05-13 14:51:57,37.88677130044843
880,16.81,6,1.5,3,21,93.91,2026-05-13 14:51:57,10.740070280055372
881,43.45,2,1.6,1,21,87.34,2026-05-13 14:51:57,29.848866498740556
882,131.91,7,1.7,6,8,233.82,2026-05-13 14:51:57,33.84911470361817
884,28.59,2,1.3,1,1,83.36,2026-05-13 14:51:57,20.578214971209214
885,108.31,4,1.9,4,8,180.97,2026-05-13 14:51:57,35.90981930706747
886,88.54,8,1.8,0,16,189.38,2026-05-13 14:51:57,28.051536593093253
887,8.51,9,1.4,3,4,95.83,2026-05-13 14:51:57,5.328185328185328
888,46.61,1,1.3,5,0,84.58,2026-05-13 14:51:57,33.0645542681485
889,29.44,7,1.9,4,23,120.17,2026-05-13 14:51:57,14.699176167096615
890,8.38,7,1.7,0,11,78.3,2026-05-13 14:51:57,6.421455938697319
891,76.95,2,2.0,2,3,145.36,2026-05-13 14:51:57,31.76252063841497
892,126.58,10,1.4,4,21,235.8,2026-05-13 14:51:57,32.208651399491096
893,55.08,4,1.5,2,1,129.26,2026-05-13 14:51:57,25.567074114188458
894,113.31,5,1.0,1,12,190.61,2026-05-13 14:51:57,35.66759351555532
895,149.32,10,1.8,1,8,270.67,2026-05-13 14:51:57,33.100084974322975
896,94.88,6,1.9,1,23,187.22,2026-05-13 14:51:57,30.407007798312144
897,73.63,8,1.9,1,1,178.57,2026-05-13 14:51:57,24.739877919023353
898,108.75,9,1.4,4,22,217.85,2026-05-13 14:51:57,29.95180169841634
899,48.6,7,1.9,5,17,134.0,2026-05-13 14:51:57,21.761194029850746
900,90.02,7,1.6,3,6,178.29,2026-05-13 14:51:57,30.294464075382805
901,148.71,6,1.6,1,20,236.35,2026-05-13 14:51:57,37.751639517664486
902,130.65,6,1.8,5,9,216.83,2026-05-13 14:51:57,36.152746391182035
903,7.52,3,1.3,6,17,47.76,2026-05-13 14:51:57,9.447236180904524
904,39.66,6,1.7,0,4,112.56,2026-05-13 14:51:57,21.140724946695094
905,82.74,10,1.8,6,10,196.16,2026-05-13 14:51:57,25.307911908646002
906,23.48,10,1.2,0,16,113.96,2026-05-13 14:51:57,12.362232362232362
907,89.74,9,1.3,0,3,177.88,2026-05-13 14:51:57,30.26984483921745
908,6.75,5,1.2,2,5,71.77,2026-05-13 14:51:57,5.643026334122893
909,17.47,5,1.4,2,13,89.26,2026-05-13 14:51:57,11.743222047949809
910,96.01,8,1.9,6,8,190.34,2026-05-13 14:51:57,30.264789324366923
911,17.42,1,1.1,2,4,54.56,2026-05-13 14:51:57,19.156891495601176
912,16.95,3,1.4,3,2,67.51,2026-05-13 14:51:57,15.06443489853355
913,63.09,2,1.5,3,11,125.51,2026-05-13 14:51:57,30.160146601864398
914,20.19,6,1.0,0,12,80.17,2026-05-13 14:51:57,15.110390420356742
915,42.07,9,1.8,4,17,137.93,2026-05-13 14:51:57,18.300587254404405
916,40.68,4,1.3,2,2,101.82,2026-05-13 14:51:57,23.971714790807308
917,109.08,4,1.4,4,21,186.31,2026-05-13 14:51:57,35.128549192206535
918,41.94,4,1.2,3,15,95.99,2026-05-13 14:51:57,26.21523075320346
919,7.36,2,1.4,0,7,51.06,2026-05-13 14:51:57,8.648648648648647
920,79.85,8,1.2,4,3,170.85,2026-05-13 14:51:57,28.04214223002634
921,143.7,3,1.4,6,2,225.37,2026-05-13 14:51:57,38.25708834361272
922,46.13,6,2.0,1,19,119.98,2026-05-13 14:51:57,23.06884480746791
923,20.76,4,1.8,3,0,84.78,2026-05-13 14:51:57,14.692144373673036
924,145.71,2,1.4,3,7,209.82,2026-05-13 14:51:57,41.66714326565628
925,57.65,10,1.5,2,16,160.87,2026-05-13 14:51:57,21.50183377882762
926,93.92,2,1.1,4,14,159.52,2026-05-13 14:51:57,35.325977933801404
927,104.11,8,1.7,6,21,195.89,2026-05-13 14:51:57,31.88830466077901
928,130.33,10,1.3,6,10,244.86,2026-05-13 14:51:57,31.935800049007597
929,95.76,10,2.0,2,0,205.59,2026-05-13 14:51:57,27.94688457609806
930,81.03,2,1.5,3,8,138.5,2026-05-13 14:51:57,35.103249097472926
931,11.57,1,1.2,2,9,42.72,2026-05-13 14:51:57,16.25
932,34.43,3,1.1,5,9,91.4,2026-05-13 14:51:57,22.60175054704595
933,8.01,8,1.2,1,10,87.96,2026-05-13 14:51:57,5.463847203274216
934,105.16,10,1.1,2,0,201.86,2026-05-13 14:51:57,31.257307044486275
935,64.4,6,1.5,3,15,149.96,2026-05-13 14:51:57,25.766871165644172
936,11.53,7,1.0,4,1,72.03,2026-05-13 14:51:57,9.604331528529778
937,18.68,5,2.0,5,19,94.78,2026-05-13 14:51:57,11.825279594851233
938,138.99,6,1.5,1,4,227.15,2026-05-13 14:51:57,36.713185119964784
939,115.38,7,1.1,5,23,204.17,2026-05-13 14:51:57,33.90703825243669
940,127.56,6,1.8,0,12,222.13,2026-05-13 14:51:57,34.455499032098324
941,149.76,1,1.8,6,23,229.25,2026-05-13 14:51:57,39.195637949836424
942,89.63,10,1.1,4,5,187.63,2026-05-13 14:51:57,28.661727868677715
943,23.54,10,1.7,5,23,127.16,2026-05-13 14:51:57,11.10726643598616
944,133.22,4,1.3,6,18,202.41,2026-05-13 14:51:57,39.490143767600415
945,10.69,2,1.2,4,9,52.87,2026-05-13 14:51:57,12.131643654246265
946,26.14,6,1.9,2,4,96.89,2026-05-13 14:51:57,16.18742904324492
947,7.42,3,1.8,1,22,67.64,2026-05-13 14:51:57,6.581904198698995
948,82.98,7,1.3,6,23,166.89,2026-05-13 14:51:57,29.832824015818804
949,109.72,9,1.9,2,10,219.55,2026-05-13 14:51:57,29.98496925529492
950,31.23,3,1.5,2,10,92.06,2026-05-13 14:51:57,20.35411688029546
951,133.52,10,1.7,4,13,248.94,2026-05-13 14:51:57,32.18124849361292
952,57.48,9,1.1,2,21,136.59,2026-05-13 14:51:57,25.24928618493301
953,9.98,2,1.0,6,8,55.76,2026-05-13 14:51:57,10.738880918220946
954,86.92,1,1.3,4,10,136.04,2026-05-13 14:51:57,38.33578359306087
955,97.66,1,1.9,2,9,163.95,2026-05-13 14:51:57,35.74016468435499
956,120.95,7,1.4,4,10,220.64,2026-05-13 14:51:57,32.89068165337201
957,26.37,10,1.0,1,3,106.91,2026-05-13 14:51:57,14.79936395098681
958,141.47,2,1.1,6,12,201.85,2026-05-13 14:51:57,42.052018825860785
959,57.34,1,1.4,0,19,96.27,2026-05-13 14:51:57,35.73698971642256
960,149.29,8,1.9,6,6,266.08,2026-05-13 14:51:57,33.66431148526759
961,102.7,3,1.7,0,5,180.85,2026-05-13 14:51:57,34.07243572021012
962,49.12,2,1.1,4,12,103.33,2026-05-13 14:51:57,28.52221039388367
963,27.19,2,1.4,1,12,68.56,2026-05-13 14:51:57,23.79521586931155
964,94.69,1,1.6,2,8,162.24,2026-05-13 14:51:57,35.01849112426035
965,48.0,3,1.0,5,20,89.36,2026-05-13 14:51:57,32.22918531781558
966,144.57,1,1.0,4,9,205.56,2026-05-13 14:51:57,42.19789842381786
967,136.06,10,1.8,4,10,263.25,2026-05-13 14:51:57,31.01082621082621
968,20.38,3,1.8,4,12,72.15,2026-05-13 14:51:57,16.948024948024944
969,19.57,4,1.9,5,5,76.96,2026-05-13 14:51:57,15.257276507276508
970,13.23,3,1.8,5,15,67.88,2026-05-13 14:51:57,11.694166175604007
971,126.35,2,1.1,6,14,198.7,2026-05-13 14:51:57,38.1529944640161
972,71.79,1,1.7,2,5,131.8,2026-05-13 14:51:57,32.68133535660091
973,16.48,8,1.4,1,5,104.23,2026-05-13 14:51:57,9.486712079055934
974,98.77,8,1.4,0,12,188.45,2026-05-13 14:51:57,31.447068187848235
975,98.84,6,1.9,2,22,180.19,2026-05-13 14:51:57,32.91192630001665
976,18.23,4,1.9,1,11,75.15,2026-05-13 14:51:57,14.554890219560876
977,70.27,5,1.5,4,13,149.28,2026-05-13 14:51:57,28.243569131832796
979,31.09,5,1.7,1,18,106.09,2026-05-13 14:51:57,17.583184088981053
980,123.31,6,1.4,6,8,214.27,2026-05-13 14:51:57,34.529332151024406
981,30.2,10,1.5,2,11,128.36,2026-05-13 14:51:57,14.116547210969147
982,71.01,5,1.6,1,11,144.03,2026-05-13 14:51:57,29.581337221412205
983,49.81,4,1.2,6,9,105.28,2026-05-13 14:51:57,28.38715805471125
984,84.41,6,1.4,0,7,168.09,2026-05-13 14:51:57,30.13028734606461
985,31.66,8,1.8,4,16,109.44,2026-05-13 14:51:57,17.357456140350877
986,130.85,6,1.0,3,12,213.49,2026-05-13 14:51:57,36.774556185301414
987,93.33,4,1.6,4,19,166.63,2026-05-13 14:51:57,33.60619336253976
988,109.32,8,1.1,4,16,209.1,2026-05-13 14:51:57,31.368723098995694
989,78.57,3,1.7,0,0,141.49,2026-05-13 14:51:57,33.3182557071171
990,105.04,7,1.8,1,0,199.74,2026-05-13 14:51:57,31.553018924601982
991,97.3,8,1.9,4,22,197.44,2026-05-13 14:51:57,29.568476499189625
992,93.61,1,1.4,6,12,155.02,2026-05-13 14:51:57,36.231454005934715
993,16.28,4,1.4,2,18,69.5,2026-05-13 14:51:57,14.054676258992805
994,42.22,6,1.4,5,18,107.45,2026-05-13 14:51:57,23.57561656584458
995,85.73,3,1.1,3,16,145.19,2026-05-13 14:51:57,35.42805978373166
996,54.4,3,1.3,2,0,111.99,2026-05-13 14:51:57,29.14545941601929
997,131.15,1,1.8,3,9,199.47,2026-05-13 14:51:57,39.44954128440367
998,81.33,4,1.3,6,9,140.02,2026-05-13 14:51:57,34.850735609198686
999,67.5,3,1.9,5,22,133.27,2026-05-13 14:51:57,30.389434981616265
1000,80.86,3,1.2,4,3,144.72,2026-05-13 14:51:57,33.524046434494196
1001,17.84,8,1.6,1,7,102.25,2026-05-13 14:51:57,10.468459657701711
1002,62.54,9,1.6,5,21,155.83,2026-05-13 14:51:57,24.080087274594106
1003,90.35,5,1.2,5,15,173.08,2026-05-13 14:51:57,31.320776519528536
1004,115.8,10,1.0,0,15,213.02,2026-05-13 14:51:57,32.61665571307858
1005,146.62,3,1.7,4,13,230.87,2026-05-13 14:51:57,38.10456100835968
1006,131.83,9,1.8,3,5,236.73,2026-05-13 14:51:57,33.41274870105183
1007,97.61,4,1.6,1,2,178.8,2026-05-13 14:51:57,32.75503355704698
1008,55.7,6,1.8,4,8,133.83,2026-05-13 14:51:57,24.97197937682134
1009,8.65,1,1.9,1,15,53.41,2026-05-13 14:51:57,9.717281407976035
1010,148.86,7,1.2,3,14,237.31,2026-05-13 14:51:57,37.6368463191606
1011,115.38,10,2.0,1,18,239.79,2026-05-13 14:51:57,28.870261478793946
1012,111.88,4,1.6,0,13,182.86,2026-05-13 14:51:57,36.71005140544679
1013,73.17,1,1.2,2,0,117.37,2026-05-13 14:51:57,37.404788276390896
1014,93.57,6,1.2,0,1,167.07,2026-05-13 14:51:57,33.60387861375471
1015,57.46,3,1.7,0,14,130.83,2026-05-13 14:51:57,26.351754184819992
1016,85.77,2,1.8,0,16,149.23,2026-05-13 14:51:57,34.48502311867587
1017,75.03,8,1.5,0,16,156.56,2026-05-13 14:51:57,28.754471129279512
1018,38.58,7,1.5,2,5,113.57,2026-05-13 14:51:57,20.382143171612224
1019,147.58,5,1.7,5,0,247.4,2026-05-13 14:51:57,35.79143088116411
1020,65.14,2,1.0,0,7,115.54,2026-05-13 14:51:57,33.827245975419764
1021,59.1,7,1.0,1,21,136.41,2026-05-13 14:51:57,25.99516164504069
1022,136.03,8,1.7,6,2,234.22,2026-05-13 14:51:57,34.84672530099906
1023,29.45,4,1.5,0,5,99.77,2026-05-13 14:51:57,17.71073468978651
1024,52.59,5,1.8,6,12,135.22,2026-05-13 14:51:57,23.3353054281911
1025,40.26,3,1.2,6,18,100.73,2026-05-13 14:51:57,23.980939144246996
1026,121.24,9,1.1,5,7,222.15,2026-05-13 14:51:57,32.745442268737335
1027,110.89,5,1.1,0,23,184.45,2026-05-13 14:51:57,36.07156410951478
1028,12.82,1,1.0,1,9,40.97,2026-05-13 14:51:57,18.77471320478399
1029,24.22,4,1.7,5,0,81.51,2026-05-13 14:51:57,17.82848730217151
1030,14.67,4,1.6,2,6,64.24,2026-05-13 14:51:57,13.701743462017435
1031,116.05,6,1.0,4,14,202.82,2026-05-13 14:51:57,34.33093383295533
1032,70.87,2,1.2,4,4,133.06,2026-05-13 14:51:57,31.957011874342403
1033,137.35,4,1.7,5,20,222.87,2026-05-13 14:51:57,36.97671288194911
1034,141.64,4,1.0,3,11,214.88,2026-05-13 14:51:57,39.549516008935214
1035,29.38,4,1.7,4,16,101.83,2026-05-13 14:51:57,17.311204949425512
1036,19.78,1,1.4,5,13,62.34,2026-05-13 14:51:57,19.037536092396532
1037,26.18,9,1.5,3,8,116.06,2026-05-13 14:51:57,13.534378769601929
1038,45.53,8,1.5,5,12,130.99,2026-05-13 14:51:57,20.855027101305442
1039,30.88,2,1.2,4,16,71.42,2026-05-13 14:51:57,25.942313077569306
1040,53.73,3,1.5,1,14,118.58,2026-05-13 14:51:57,27.1867093945016
1041,39.81,10,1.1,5,17,126.95,2026-05-13 14:51:57,18.815281606931865
1042,42.99,2,1.1,4,23,84.42,2026-05-13 14:51:57,30.554371002132196
1043,13.17,2,1.6,3,16,53.65,2026-05-13 14:51:57,14.728797763280522
1044,38.96,9,1.8,0,2,137.93,2026-05-13 14:51:57,16.94772710795331
1045,87.58,2,1.8,4,9,161.32,2026-05-13 14:51:57,32.573766426977436
1046,84.36,6,1.4,2,6,158.91,2026-05-13 14:51:57,31.851991693411367
1048,79.53,5,1.9,3,11,154.0,2026-05-13 14:51:57,30.985714285714284
1049,100.05,8,1.0,4,15,186.43,2026-05-13 14:51:57,32.19975325859572
1050,16.39,5,1.7,2,6,76.39,2026-05-13 14:51:57,12.873412750359995
1051,59.94,4,1.5,3,20,126.62,2026-05-13 14:51:57,28.403095877428523
1052,142.7,1,1.8,4,15,206.71,2026-05-13 14:51:57,41.42034734652411
1053,87.67,2,1.8,6,5,143.65,2026-05-13 14:51:57,36.61816916115559
1054,133.32,4,1.5,6,11,223.05,2026-05-13 14:51:57,35.86281102891728
1055,81.83,2,1.6,6,19,145.29,2026-05-13 14:51:57,33.793103448275865
1056,61.89,3,1.6,2,19,117.36,2026-05-13 14:51:57,31.641104294478527
1057,60.42,1,1.0,0,2,99.03,2026-05-13 14:51:57,36.60708876098152
1058,11.4,5,1.9,0,1,89.49,2026-05-13 14:51:57,7.643312101910829
1059,50.0,10,2.0,0,14,146.03,2026-05-13 14:51:57,20.543723892350886
1060,120.01,5,1.5,0,7,204.2,2026-05-13 14:51:57,35.262487757100885
1061,149.89,3,1.1,4,17,222.97,2026-05-13 14:51:57,40.334574157958464
1062,123.34,5,1.3,2,20,200.81,2026-05-13 14:51:57,36.85274637717245
1063,62.34,7,1.3,2,18,138.69,2026-05-13 14:51:57,26.969500324464633
1064,49.51,5,1.9,0,12,132.6,2026-05-13 14:51:57,22.402714932126695
1065,95.68,2,1.1,6,12,155.79,2026-05-13 14:51:57,36.84960523782015
1066,15.76,6,1.2,1,9,88.77,2026-05-13 14:51:57,10.652247380871916
1067,86.36,7,1.3,6,6,180.16,2026-05-13 14:51:57,28.76110124333925
1068,148.7,6,1.1,6,4,243.24,2026-05-13 14:51:57,36.679822397631966
1069,121.83,4,1.6,6,20,210.47,2026-05-13 14:51:57,34.730840499833704
1070,27.04,7,1.4,2,23,101.64,2026-05-13 14:51:57,15.962219598583236
1071,137.55,10,1.9,3,13,267.51,2026-05-13 14:51:57,30.851183133340815
1072,43.05,1,1.9,0,5,86.08,2026-05-13 14:51:57,30.00697026022305
1073,88.37,9,1.4,0,15,185.22,2026-05-13 14:51:57,28.62649821833495
1074,34.08,8,1.4,1,3,112.5,2026-05-13 14:51:57,18.176
1075,135.32,7,2.0,1,9,236.64,2026-05-13 14:51:57,34.310344827586206
1076,66.42,6,1.8,5,20,158.39,2026-05-13 14:51:57,25.160679335816656
1077,107.66,1,1.3,1,12,167.17,2026-05-13 14:51:57,38.64090446850511
1078,118.63,9,1.6,0,20,224.17,2026-05-13 14:51:57,31.75179551233439
1079,36.19,7,1.2,1,12,103.12,2026-05-13 14:51:57,21.05702094647013
1080,73.14,6,1.2,4,0,145.2,2026-05-13 14:51:57,30.22314049586777
1081,96.02,7,1.2,1,15,173.0,2026-05-13 14:51:57,33.30173410404624
1082,64.39,6,1.7,2,9,155.46,2026-05-13 14:51:57,24.851408722500963
1083,100.91,10,1.7,6,4,214.31,2026-05-13 14:51:57,28.251598152209418
1084,28.38,9,1.6,4,4,119.06,2026-05-13 14:51:57,14.302032588610784
1085,85.35,7,1.2,1,7,174.59,2026-05-13 14:51:57,29.331576837161347
1086,132.17,10,1.1,5,11,240.26,2026-05-13 14:51:57,33.0067426954133
1087,69.02,9,1.5,0,9,170.59,2026-05-13 14:51:57,24.275748871563394
1088,58.97,2,1.3,1,13,106.3,2026-05-13 14:51:57,33.28504233301975
1089,93.26,2,1.2,4,20,150.33,2026-05-13 14:51:57,37.22211135501896
1090,31.62,10,1.4,3,15,130.68,2026-05-13 14:51:57,14.517906336088155
1091,46.73,4,1.3,6,19,98.46,2026-05-13 14:51:57,28.476538695917124
1092,15.86,8,1.9,4,9,110.48,2026-05-13 14:51:57,8.613323678493844
